,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
60,Connecticut,26,24,2,.923,23.90,9.78,,14,1,,13,1,,8,1,,2061,1694,,66.6,96.9,.410,.353,.501,46.2,48.0,8.5,9.2,.452,16.1,29.0,.294
61,Coppin State,27,6,21,.222,-25.79,-7.40,,4,6,,2,5,,4,13,,1756,2193,,69.7,116.6,.418,.438,.591,52.7,63.0,13.1,11.5,.553,15.1,34.8,.310
62,Cornell,23,12,11,.522,-1.52,-2.99,,5,5,,5,3,,7,8,,2078,1935,,73.2,113.6,.368,.382,.579,48.4,54.9,9.2,8.6,.550,14.0,28.9,.262
63,Creighton,26,13,13,.500,10.71,9.82,,7,8,,10,4,,2,7,,1977,1954,,68.1,109.9,.245,.321,.534,50.5,49.5,10.1,10.2,.512,12.1,31.5,.169
64,Dartmouth,23,10,13,.435,-6.46,-2.51,,4,6,,5,7,,5,6,,1761,1735,,69.7,107.6,.279,.394,.533,49.4,50.4,11.0,11.4,.503,12.0,28.1,.201
65,Davidson,25,15,10,.600,5.40,3.83,,6,6,,9,6,,5,3,,1848,1717,,65.0,104.7,.356,.368,.537,50.5,45.8,9.4,8.6,.508,16.0,31.1,.241
66,Dayton,25,16,9,.640,6.96,2.52,,7,5,,12,2,,3,5,,1896,1785,,69.2,101.6,.346,.418,.547,51.2,51.9,10.6,11.2,.515,19.3,30.7,.244
67,Delaware,25,9,16,.360,-7.17,-2.38,,5,9,,4,8,,4,7,,1672,1796,,64.2,110.3,.293,.432,.537,52.1,58.0,11.5,10.3,.500,12.0,30.0,.224
68,Delaware State,25,6,19,.240,-22.53,-8.86,,1,9,,5,5,,1,13,,1524,1783,,67.3,105.4,.379,.359,.571,53.3,56.2,9.9,9.8,.541,18.1,29.3,.266
69,Denver,28,13,15,.464,-4.88,-1.20,,6,7,,7,5,,6,10,,2331,2315,,69.7,118.7,.331,.374,.577,49.7,43.0,9.0,8.0,.552,11.1,31.8,.231
70,DePaul,25,13,12,.520,6.90,5.42,,5,9,,11,4,,1,7,,1793,1756,,68.0,103.3,.377,.339,.532,50.5,58.0,10.6,10.6,.493,15.8,31.1,.268
71,Detroit Mercy,25,12,13,.480,-7.31,-2.92,,9,7,,6,5,,6,8,,1932,1964,,70.7,111.1,.385,.436,.552,47.5,58.9,8.9,7.6,.515,12.6,29.7,.277
72,Drake,28,12,16,.429,-0.90,1.02,,6,11,,6,9,,4,6,,2149,2115,,68.5,109.3,.323,.443,.550,50.5,54.8,8.8,8.3,.524,13.3,28.1,.220
73,Drexel,27,13,14,.481,-5.24,-4.63,,7,7,,10,4,,3,8,,1852,1834,,66.0,102.9,.356,.342,.517,49.2,48.1,11.3,8.8,.471,14.4,30.4,.268
74,Duke,26,24,2,.923,30.60,10.79,,13,1,,13,0,,8,1,,2157,1642,,67.8,93.1,.222,.448,.489,42.9,51.5,9.8,7.4,.462,16.6,25.4,.157
75,Duquesne,25,15,10,.600,4.87,1.48,,7,5,,10,5,,5,4,,2060,1911,,71.2,105.2,.385,.395,.549,48.9,54.2,10.2,11.6,.508,15.9,29.1,.283
76,East Carolina,25,9,16,.360,-6.29,0.09,,4,8,,6,8,,3,6,,1757,1909,,69.1,109.9,.325,.406,.549,50.1,54.4,10.1,8.4,.515,14.2,32.6,.237
77,East Tennessee State,27,19,8,.704,0.98,-7.35,,11,3,,13,3,,6,5,,2115,1839,,67.3,100.2,.325,.478,.531,48.0,55.6,8.6,7.8,.495,17.3,27.4,.235
78,East Texas A&M,28,11,17,.393,-10.14,-0.98,,6,12,,6,6,,4,11,,1979,2087,,70.4,105.8,.353,.372,.541,52.5,55.9,10.4,10.7,.511,15.5,31.1,.242
79,Eastern Illinois,27,11,16,.407,-13.18,-4.68,,7,9,,9,4,,2,12,,1815,1897,,67.2,103.6,.343,.422,.535,51.8,57.0,9.4,11.7,.495,17.1,33.0,.255
80,Eastern Kentucky,27,9,18,.333,-8.98,-3.54,,5,9,,7,5,,2,13,,2160,2179,,70.2,113.4,.387,.404,.580,49.6,53.4,10.0,8.5,.547,14.8,31.3,.280
81,Eastern Michigan,26,9,17,.346,-5.08,-1.24,,3,10,,6,5,,3,12,,1850,1908,,68.3,106.5,.351,.354,.536,50.1,52.2,9.2,10.0,.498,14.3,29.3,.256
82,Eastern Washington,26,9,17,.346,-3.15,0.74,,7,6,,6,3,,3,13,,2004,2083,,69.3,114.5,.367,.392,.590,50.7,50.5,10.7,7.5,.552,14.6,31.6,.281
83,Elon,27,14,13,.519,-3.01,-2.73,,6,8,,8,6,,6,7,,2186,2111,,68.5,112.0,.337,.449,.559,49.3,55.5,8.8,10.5,.531,14.2,32.5,.235
84,Evansville,26,6,20,.231,-7.74,3.42,,2,13,,4,8,,1,10,,1752,1949,,67.7,109.7,.316,.417,.559,52.7,55.1,11.5,6.8,.529,14.4,29.4,.229
85,Fairfield,27,16,11,.593,-8.32,-8.71,,8,8,,10,3,,6,8,,2040,1967,,67.7,107.1,.299,.355,.547,47.3,51.8,8.3,11.1,.512,14.7,28.4,.227
86,FDU,27,10,17,.370,-13.63,-6.42,,7,7,,8,5,,2,12,,1833,1882,,65.0,106.7,.363,.407,.552,47.8,48.8,9.5,9.7,.519,15.1,27.1,.257
87,Florida,25,19,6,.760,27.36,12.32,,10,2,,11,1,,5,2,,2162,1786,,72.7,98.2,.336,.345,.502,40.6,44.3,9.1,7.9,.462,13.7,24.2,.241
88,Florida A&M,24,10,14,.417,-16.25,-7.75,,7,6,,6,3,,3,11,,1677,1846,,70.7,108.3,.412,.349,.569,51.6,49.3,12.3,9.7,.520,17.0,31.9,.319
89,Florida Atlantic,26,14,12,.538,5.44,2.82,,6,7,,9,4,,3,6,,2107,1958,,71.4,104.4,.361,.373,.536,46.6,46.6,10.3,7.2,.497,14.6,27.7,.262
90,Florida Gulf Coast,27,12,15,.444,-5.95,-3.79,,6,8,,9,6,,3,9,,2128,2105,,70.1,110.2,.393,.457,.566,48.1,52.8,9.7,9.3,.526,14.7,28.5,.291
91,Florida International,25,12,13,.480,-1.58,-0.13,,5,9,,10,5,,2,8,,2039,1944,,73.6,104.6,.333,.451,.536,49.3,61.9,10.4,8.9,.503,17.4,33.9,.236
