,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
272,Siena,27,18,9,.667,-4.09,-8.97,,11,5,,7,4,,9,5,,1917,1785,,64.6,102.3,.283,.399,.527,47.8,49.3,10.1,9.0,.498,15.5,28.8,.200
273,South Alabama,27,19,8,.704,-4.17,-6.37,,9,5,,8,2,,8,6,,2011,1874,,66.5,102.4,.217,.650,.514,50.9,71.2,8.3,11.4,.489,15.9,30.8,.156
274,South Carolina,25,11,14,.440,7.32,6.80,,2,10,,10,6,,1,6,,1911,1898,,68.3,109.5,.348,.352,.542,52.1,56.3,8.9,11.5,.507,12.8,31.5,.250
275,South Carolina State,24,6,18,.250,-23.00,-5.86,,4,4,,5,4,,1,14,,1561,1918,,70.3,113.6,.497,.387,.580,53.6,60.4,10.5,9.2,.537,16.1,36.4,.361
276,South Carolina Upstate,27,11,16,.407,-9.52,-4.06,,3,9,,8,5,,3,11,,2042,2018,,70.5,104.0,.351,.366,.529,50.5,44.7,10.1,10.3,.494,14.7,30.8,.246
277,South Dakota,27,14,13,.519,-8.18,-4.39,,6,6,,10,5,,3,8,,2189,2191,,71.7,111.2,.293,.307,.577,49.3,44.3,10.0,9.1,.551,14.8,29.2,.212
278,South Dakota State,27,12,15,.444,-2.17,-2.17,,5,7,,8,3,,3,8,,2046,1960,,68.3,105.8,.313,.474,.541,47.6,53.9,9.8,7.4,.506,14.0,26.1,.231
279,South Florida,26,18,8,.692,11.24,2.96,,10,3,,10,2,,7,3,,2308,2040,,73.9,103.7,.384,.387,.528,47.1,50.4,8.8,13.3,.490,15.9,31.4,.269
280,Southeast Missouri State,27,16,11,.593,-6.33,-7.00,,11,5,,9,4,,6,7,,2045,1929,,71.2,100.4,.434,.344,.542,48.7,43.4,10.0,8.4,.497,17.4,26.7,.315
281,Southeastern Louisiana,27,8,19,.296,-8.69,-2.38,,5,13,,5,5,,1,14,,1731,1869,,65.6,105.0,.404,.384,.551,51.8,52.1,10.4,9.6,.508,17.0,30.8,.297
282,Southern,26,12,14,.462,-10.65,-4.78,,8,5,,7,2,,5,12,,2088,2041,,73.0,106.0,.418,.403,.566,49.7,53.6,8.7,9.5,.521,18.1,30.4,.315
283,Southern California,25,18,7,.720,13.54,9.49,,7,7,,9,3,,5,4,,2032,1896,,71.5,104.0,.340,.418,.529,47.1,53.9,10.2,7.7,.484,14.9,30.5,.261
284,Southern Illinois,27,12,15,.444,3.36,1.79,,6,10,,7,6,,4,8,,2001,1919,,70.5,99.5,.328,.409,.520,48.3,51.8,9.8,7.8,.487,16.3,27.4,.227
285,SIU Edwardsville,27,17,10,.630,-7.36,-9.36,,10,6,,8,5,,8,5,,1951,1754,,67.0,96.5,.333,.394,.491,48.5,46.5,10.3,8.1,.450,15.8,30.9,.237
286,Southern Indiana,26,5,21,.192,-15.85,-7.85,,2,14,,3,10,,2,9,,1781,1919,,69.4,105.4,.363,.275,.524,52.1,38.7,10.0,13.6,.482,14.2,33.4,.265
287,Southern Methodist,25,17,8,.680,18.62,9.98,,6,6,,13,2,,3,5,,2155,1939,,71.4,107.5,.323,.464,.542,47.3,60.5,9.3,7.5,.510,14.9,31.3,.230
288,Southern Mississippi,28,14,14,.500,-6.36,-4.17,,7,8,,9,3,,3,10,,2054,2052,,69.3,104.8,.401,.414,.544,47.8,49.1,10.1,10.5,.508,15.4,27.8,.278
289,Southern Utah,26,9,17,.346,-10.31,0.52,,5,8,,6,4,,2,13,,1978,2069,,72.4,109.4,.287,.301,.541,50.3,46.8,11.9,10.2,.513,13.0,31.4,.203
290,St. Bonaventure,25,14,11,.560,2.01,1.01,,3,9,,8,5,,4,4,,1915,1851,,67.5,109.1,.332,.399,.569,47.5,57.3,9.3,8.0,.532,16.0,29.6,.254
291,St. John's (NY),25,20,5,.800,22.16,9.92,,13,1,,12,2,,7,0,,2108,1802,,72.0,99.6,.324,.339,.517,47.4,45.9,8.8,9.6,.480,17.1,31.6,.234
292,St. Thomas,28,21,7,.750,3.17,-5.24,,10,3,,12,1,,8,5,,2350,2035,,70.8,102.6,.284,.411,.534,51.0,54.4,7.3,8.0,.501,15.5,27.0,.211
293,Stanford,26,16,10,.615,11.77,8.89,,5,8,,10,6,,3,4,,1961,1886,,68.8,105.5,.409,.327,.560,49.1,42.9,7.3,9.8,.514,16.6,28.4,.309
294,Stephen F. Austin,27,24,3,.889,5.84,-4.41,,17,1,,14,0,,10,3,,2094,1763,,67.3,97.0,.306,.344,.498,46.5,44.4,7.7,9.1,.461,15.2,28.3,.219
295,Stetson,27,9,18,.333,-14.32,-3.96,,5,9,,7,4,,2,13,,1964,2175,,69.1,116.1,.290,.411,.577,51.7,54.6,11.6,7.7,.551,13.1,31.2,.210
296,Stonehill,27,9,18,.333,-15.70,-8.14,,6,8,,6,4,,3,13,,1756,1852,,66.7,101.4,.302,.333,.506,47.8,43.2,11.8,12.6,.479,12.0,25.9,.199
297,Stony Brook,27,16,11,.593,-4.42,-3.66,,8,6,,11,3,,4,7,,1943,1891,,66.8,103.4,.318,.389,.521,51.5,53.9,9.6,11.7,.486,15.1,31.7,.226
298,Syracuse,27,15,12,.556,10.95,8.13,,6,8,,12,4,,2,5,,2053,1977,,68.2,105.3,.337,.348,.529,51.4,53.6,10.0,7.8,.492,15.3,33.5,.244
299,Tarleton State,26,13,13,.500,-3.64,-1.14,,4,9,,9,4,,4,9,,1958,1885,,72.3,98.9,.445,.404,.558,51.2,54.8,10.4,9.4,.517,22.4,32.8,.317
300,TCU,25,16,9,.640,15.09,8.29,,6,6,,11,5,,3,4,,1972,1802,,70.0,101.5,.308,.375,.537,48.4,61.3,8.8,9.3,.508,17.1,29.2,.215
301,Temple,25,15,10,.600,0.60,-1.90,,7,5,,9,4,,5,3,,1867,1761,,65.8,106.6,.352,.370,.532,49.7,50.7,8.5,12.5,.498,13.5,30.3,.247
302,Tennessee,25,18,7,.720,22.05,10.29,,8,4,,13,1,,3,4,,2026,1732,,68.1,100.3,.350,.452,.506,40.8,46.1,11.2,9.7,.471,14.1,27.7,.239
303,Tennessee State,26,17,9,.654,-8.12,-8.64,,11,5,,8,2,,8,7,,2101,1979,,72.7,104.2,.405,.365,.554,48.1,50.4,10.1,6.9,.516,17.6,29.6,.291
304,Tennessee Tech,27,11,16,.407,-13.97,-7.97,,6,10,,6,6,,5,10,,2016,2046,,69.9,108.3,.312,.365,.543,48.5,53.2,11.3,10.1,.508,14.0,31.2,.230
305,Tennessee-Martin,27,20,7,.741,-4.06,-9.02,,12,4,,11,1,,8,5,,1958,1715,,67.8,93.6,.347,.410,.484,44.4,55.6,13.6,9.2,.445,17.2,29.7,.238
306,Texas,25,16,9,.640,17.96,8.37,,7,5,,11,3,,3,4,,2130,1859,,69.3,106.7,.419,.347,.536,43.4,45.4,9.2,8.5,.492,12.7,26.7,.302
307,Texas A&M,25,17,8,.680,17.81,6.57,,7,5,,12,3,,4,4,,2245,1964,,73.5,105.3,.352,.419,.545,49.4,56.9,9.1,11.0,.506,16.4,31.9,.261
308,Texas A&M-Corpus Christi,27,14,13,.519,-2.58,-0.41,,10,8,,8,5,,6,8,,1979,1845,,69.4,98.1,.463,.358,.530,47.4,48.9,10.3,10.5,.481,18.2,26.8,.331
309,Texas Southern,24,9,15,.375,-13.73,-4.82,,7,6,,7,4,,2,11,,1790,1904,,71.8,109.4,.447,.422,.562,50.8,52.7,11.5,8.4,.522,15.1,30.3,.319
310,Texas State,28,17,11,.607,-7.01,-6.59,,9,6,,15,1,,2,8,,2084,1984,,68.4,102.6,.378,.382,.542,46.2,44.4,11.7,9.8,.505,16.8,27.6,.267
311,Texas Tech,25,19,6,.760,23.19,13.55,,9,3,,12,1,,4,3,,2050,1809,,69.0,104.4,.325,.351,.524,47.7,41.7,8.4,7.1,.492,13.6,29.1,.226
312,Texas-Rio Grande Valley,27,15,12,.556,0.64,-1.32,,11,7,,8,5,,7,7,,2038,1874,,67.3,103.1,.366,.397,.515,49.1,58.1,8.8,10.1,.476,14.5,30.9,.257
313,The Citadel,27,9,18,.333,-16.88,-5.55,,6,8,,7,6,,2,11,,1867,2057,,64.8,115.4,.328,.430,.576,51.2,51.6,9.4,11.3,.554,12.9,30.0,.223
314,Toledo,26,13,13,.500,-0.86,-1.16,,7,6,,8,4,,4,8,,2102,2018,,70.4,110.2,.261,.399,.561,51.1,52.9,8.7,8.7,.539,15.8,33.8,.183
315,Towson,27,14,13,.519,-1.17,-0.37,,6,8,,9,3,,2,9,,1874,1808,,65.5,102.2,.289,.425,.521,45.5,48.1,8.3,7.1,.490,14.0,26.7,.204
316,Troy,27,17,10,.630,0.05,-2.75,,9,5,,8,3,,8,6,,2205,2016,,69.0,103.4,.322,.375,.530,48.3,50.3,9.7,11.0,.500,16.1,30.9,.223
317,Tulane,25,15,10,.600,-0.86,0.55,,6,6,,9,6,,5,2,,1817,1839,,68.4,107.0,.369,.394,.533,55.6,54.9,9.3,9.8,.499,15.1,35.0,.255
318,Tulsa,26,20,6,.769,11.30,1.55,,8,5,,10,2,,6,4,,2226,1898,,69.4,105.2,.310,.399,.525,45.6,48.7,8.8,9.2,.491,12.9,28.0,.220
319,UAB,26,16,10,.615,4.04,0.12,,7,6,,7,8,,7,2,,2075,1921,,71.5,101.9,.283,.410,.527,47.0,51.3,8.1,10.0,.493,15.0,26.4,.208
320,UC Davis,26,16,10,.615,-0.27,-0.72,,9,6,,12,3,,4,7,,2025,1931,,71.9,103.3,.390,.388,.551,50.6,54.7,9.0,9.4,.513,18.2,29.8,.281
321,UC Irvine,26,17,9,.654,3.15,-1.35,,10,4,,9,3,,5,5,,2019,1768,,71.8,93.8,.279,.373,.475,47.9,53.3,9.1,7.8,.440,16.0,30.8,.196
322,UC Riverside,27,8,19,.296,-8.81,0.31,,3,12,,5,6,,3,13,,1940,2102,,70.1,111.0,.368,.323,.562,50.7,49.8,10.8,8.3,.533,13.8,30.2,.254
323,UC San Diego,27,18,9,.667,3.38,-0.94,,8,7,,8,5,,6,4,,2061,1898,,70.1,100.3,.300,.425,.516,48.9,54.4,9.0,10.7,.484,14.9,27.1,.210
324,UC Santa Barbara,26,17,9,.654,1.90,-2.02,,10,5,,10,2,,5,6,,2059,1899,,67.3,107.5,.402,.376,.577,45.7,50.8,9.9,9.9,.541,16.7,25.0,.293
325,UCF,24,17,7,.708,13.27,9.19,,6,6,,12,3,,3,4,,1962,1864,,70.9,109.5,.342,.404,.564,46.2,53.1,8.7,8.5,.529,14.3,27.5,.252
326,UCLA,25,17,8,.680,16.85,9.41,,9,5,,14,1,,3,4,,1948,1762,,66.6,104.8,.365,.442,.541,49.8,58.9,7.7,6.9,.498,16.2,31.8,.274
327,UNC Asheville,26,12,14,.462,-4.81,-3.55,,6,6,,8,6,,3,8,,1919,1867,,67.9,105.3,.366,.362,.533,48.7,48.2,9.3,7.7,.501,14.2,29.9,.249
328,UNC Greensboro,27,12,15,.444,-10.83,-4.83,,8,6,,8,5,,3,7,,2124,2168,,69.0,114.8,.294,.462,.566,49.9,50.3,8.7,9.1,.541,11.6,28.7,.208
329,UNC Wilmington,26,22,4,.846,2.87,-4.93,,11,2,,13,2,,9,2,,2003,1743,,66.8,100.3,.295,.428,.506,45.2,47.0,7.6,8.2,.469,13.4,26.5,.216
330,UT Arlington,25,14,11,.560,-1.82,-1.56,,6,7,,8,3,,6,7,,1804,1703,,68.2,98.5,.425,.304,.513,45.7,50.5,11.6,8.8,.467,16.3,28.4,.301
331,Utah,25,9,16,.360,6.72,9.88,,1,11,,8,6,,0,8,,1909,1988,,69.4,114.0,.305,.336,.557,51.3,47.3,8.4,12.0,.529,12.0,32.3,.218
332,Utah State,25,22,3,.880,19.35,5.47,,12,2,,11,1,,7,2,,2117,1728,,68.8,99.9,.392,.409,.523,46.9,46.6,9.1,8.6,.477,18.0,31.2,.288
333,Utah Tech,27,16,11,.593,-2.44,-0.61,,9,4,,10,2,,5,8,,2077,1987,,69.3,103.8,.335,.338,.521,50.9,46.8,9.8,7.7,.484,15.4,32.9,.240
334,Utah Valley,25,18,7,.720,6.44,-0.93,,8,4,,12,0,,3,7,,2038,1703,,70.7,95.8,.370,.348,.515,45.4,52.0,11.6,7.1,.471,18.9,30.0,.270
335,UTEP,26,10,16,.385,-5.52,0.26,,6,9,,8,6,,2,8,,1815,1868,,66.5,106.4,.441,.376,.552,52.2,53.7,10.2,8.3,.514,16.7,32.6,.309
336,UTSA,25,5,20,.200,-14.87,1.52,,1,12,,2,9,,2,10,,1739,2016,,70.4,114.5,.341,.436,.555,53.2,57.0,11.9,12.4,.524,13.4,36.6,.241
337,Valparaiso,27,14,13,.519,-0.14,1.01,,8,8,,11,4,,3,9,,1926,1916,,66.5,105.3,.354,.368,.533,49.0,47.2,7.3,8.0,.498,14.7,30.1,.249
338,Vanderbilt,25,21,4,.840,23.96,9.16,,8,4,,12,2,,6,2,,2210,1840,,72.1,101.6,.401,.392,.525,48.5,44.7,6.7,6.7,.473,15.9,29.4,.304
339,Vermont,27,17,10,.630,-5.71,-9.15,,9,3,,9,3,,7,5,,2030,1886,,65.1,105.9,.368,.420,.547,46.5,51.4,8.5,8.5,.508,13.1,21.7,.270
340,Villanova,25,20,5,.800,17.86,9.22,,11,3,,11,2,,7,2,,1944,1728,,65.8,104.0,.286,.382,.532,48.9,51.0,7.6,6.9,.505,16.2,32.1,.199
341,Virginia,25,22,3,.880,20.45,6.45,,10,2,,12,1,,7,1,,2035,1685,,66.3,99.2,.348,.367,.494,43.8,48.3,9.2,9.4,.450,13.8,28.5,.252
342,Virginia Commonwealth,26,20,6,.769,13.16,2.16,,11,2,,12,2,,6,2,,2171,1885,,70.3,103.1,.354,.323,.526,47.7,48.6,9.2,8.9,.486,15.0,29.9,.258
343,VMI,27,6,21,.222,-20.31,-5.27,,1,13,,5,8,,1,11,,1955,2147,,69.2,115.0,.335,.443,.567,54.9,63.2,8.5,10.6,.537,14.4,35.3,.239
344,Virginia Tech,26,17,9,.654,12.70,8.27,,6,7,,12,3,,3,4,,2058,1943,,68.6,105.9,.279,.399,.539,50.2,47.0,7.7,9.4,.508,15.3,32.2,.205
345,Wagner,25,9,16,.360,-13.11,-7.51,,4,10,,6,5,,3,11,,1791,1839,,66.6,108.3,.385,.376,.546,47.5,57.2,11.0,9.7,.507,13.9,29.0,.279
346,Wake Forest,25,13,12,.520,12.93,10.25,,4,8,,9,6,,2,4,,1992,1925,,70.8,107.7,.369,.469,.559,51.6,59.2,9.7,8.3,.521,16.9,32.9,.272
347,Washington,26,13,13,.500,15.37,10.95,,5,10,,9,5,,3,7,,1998,1883,,67.9,105.6,.323,.377,.533,46.3,47.5,8.2,8.8,.498,13.0,28.2,.232
348,Washington State,27,11,16,.407,4.52,5.86,,6,8,,8,5,,1,9,,2068,2098,,69.4,112.0,.344,.379,.566,47.8,48.7,10.5,8.6,.532,12.9,27.1,.253
349,Weber State,27,13,14,.481,-2.81,-2.37,,7,7,,9,5,,4,9,,2202,2082,,71.2,107.3,.358,.402,.562,46.9,49.5,8.7,10.3,.528,15.2,26.0,.260
350,West Georgia,26,12,14,.462,-12.02,-5.15,,6,8,,8,5,,4,9,,1971,2078,,70.2,112.8,.341,.368,.567,50.0,51.6,9.2,5.7,.536,13.3,30.2,.247
351,West Virginia,25,16,9,.640,12.93,6.57,,7,5,,13,2,,3,3,,1753,1594,,64.1,98.5,.268,.393,.516,47.8,57.3,9.7,11.5,.483,15.8,26.3,.197
352,Western Carolina,25,10,15,.400,-8.54,-2.63,,6,8,,7,3,,3,12,,1952,1975,,69.8,112.1,.399,.446,.580,46.1,50.5,9.1,7.3,.539,13.9,26.3,.302
353,Western Illinois,27,5,22,.185,-22.52,-7.64,,1,15,,4,8,,1,14,,1766,2065,,67.2,113.2,.328,.371,.566,52.2,50.6,9.8,10.7,.538,13.6,32.6,.233
354,Western Kentucky,25,14,11,.560,0.17,0.26,,7,7,,10,4,,3,5,,1937,1866,,71.2,104.4,.432,.429,.535,48.8,59.1,8.3,12.6,.496,15.6,30.0,.298
355,Western Michigan,25,9,16,.360,-8.66,-2.35,,3,9,,7,5,,2,11,,1871,1983,,69.7,113.8,.358,.455,.568,48.3,56.4,9.5,11.4,.539,12.6,29.4,.253
356,Wichita State,26,16,10,.615,8.46,2.14,,8,5,,12,3,,4,4,,2005,1821,,66.7,103.0,.337,.358,.517,45.5,45.9,8.7,8.3,.480,14.4,29.5,.240
357,William & Mary,26,16,10,.615,1.99,-1.43,,7,7,,9,2,,5,8,,2175,1999,,74.2,103.6,.338,.446,.534,50.0,53.2,10.3,10.6,.502,16.5,30.7,.236
358,Winthrop,27,19,8,.704,0.74,-4.30,,11,1,,11,1,,7,7,,2296,2014,,71.7,103.6,.359,.430,.536,46.1,45.0,8.0,10.2,.497,15.4,27.3,.261
359,Wisconsin,25,18,7,.720,18.61,10.53,,10,4,,13,2,,4,2,,2092,1890,,69.8,106.8,.322,.403,.541,48.3,49.2,6.7,11.3,.506,12.9,26.4,.236
360,Wofford,27,17,10,.630,-6.35,-6.35,,9,5,,9,3,,8,7,,2137,2079,,68.5,112.5,.344,.383,.571,49.2,49.7,8.5,9.4,.533,13.6,29.1,.263
361,Wright State,27,17,10,.630,0.20,-3.68,,12,4,,9,4,,7,5,,2167,1968,,68.6,105.8,.331,.346,.550,47.1,45.0,9.8,9.4,.519,15.6,28.7,.235
362,Wyoming,25,13,12,.520,8.33,4.91,,4,10,,11,4,,1,8,,1936,1830,,68.3,107.2,.480,.386,.561,46.2,46.0,8.8,10.0,.518,15.0,26.4,.342
363,Xavier,25,13,12,.520,8.24,9.00,,5,9,,11,4,,1,7,,1944,1963,,71.8,108.8,.332,.350,.556,52.4,64.3,8.3,10.5,.530,14.5,29.1,.228
364,Yale,24,20,4,.833,6.90,-2.29,,8,2,,8,2,,8,2,,2000,1716,,66.6,106.2,.272,.453,.542,46.3,51.8,7.7,10.0,.515,14.4,28.0,.195
365,Youngstown State,27,13,14,.481,-3.47,-4.56,,6,10,,8,5,,4,8,,2144,1967,,69.2,104.8,.349,.316,.544,48.2,46.6,10.3,10.0,.504,16.0,30.5,.260
