,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
204,Nicholls State,27,11,16,.407,-7.07,-1.57,,10,8,,5,5,,6,11,,1995,2070,,1080,692,1576,.439,238,695,.342,373,562,.664,274,819,359,251,73,311,495
205,NJIT,27,15,12,.556,-13.35,-7.47,,10,2,,7,3,,8,9,,1867,1985,,1082,643,1562,.412,203,651,.312,378,536,.705,266,949,306,176,96,315,503
206,Norfolk State,27,13,14,.481,-12.28,-8.37,,6,4,,8,3,,4,9,,2038,1960,,1080,715,1542,.464,159,469,.339,449,664,.676,311,945,320,192,78,339,519
207,North Alabama,25,8,17,.320,-15.32,-5.01,,3,11,,4,7,,4,10,,1759,1958,,1010,617,1409,.438,151,485,.311,374,544,.688,272,843,259,170,99,283,375
208,North Carolina,25,20,5,.800,20.19,8.83,,8,4,,15,0,,3,4,,2045,1761,,1000,715,1501,.476,217,629,.345,398,575,.692,276,969,421,143,87,232,361
209,North Carolina A&T,24,10,14,.417,-8.78,-5.33,,3,10,,6,4,,3,9,,1792,1822,,965,600,1336,.449,137,436,.314,455,636,.715,263,907,285,139,98,307,443
210,North Carolina Central,24,10,14,.417,-16.69,-5.09,,6,3,,8,4,,2,10,,1740,1818,,960,604,1375,.439,149,458,.325,383,526,.728,261,776,350,210,91,297,432
211,North Dakota,29,15,14,.517,-9.16,-3.16,,9,4,,8,7,,7,6,,2237,2245,,1170,780,1777,.439,228,692,.329,449,641,.700,331,969,322,258,74,285,584
212,North Dakota State,27,21,6,.778,1.86,-4.76,,11,1,,11,1,,9,4,,2198,1917,,1100,785,1665,.471,249,684,.364,379,516,.734,320,964,412,234,82,297,399
213,North Florida,27,6,21,.222,-15.53,-1.89,,4,10,,4,6,,2,13,,2178,2420,,1085,758,1673,.453,315,864,.365,347,447,.776,257,873,396,133,38,349,492
214,North Texas,26,15,11,.577,2.01,0.80,,6,7,,10,4,,4,6,,1836,1720,,1055,637,1488,.428,145,489,.297,415,593,.700,316,901,325,258,118,314,503
215,Northeastern,24,6,18,.250,-8.25,-2.00,,2,11,,2,7,,3,11,,1803,1953,,965,660,1430,.462,186,547,.340,297,433,.686,229,745,367,177,81,280,451
216,Northern Arizona,27,10,17,.370,-9.48,-0.94,,4,10,,9,6,,1,10,,1960,2052,,1080,706,1501,.470,204,550,.371,344,507,.679,219,818,368,185,68,286,476
217,Northern Colorado,27,17,10,.630,0.61,-1.81,,7,7,,9,3,,7,6,,2240,2071,,1100,819,1669,.491,269,735,.366,333,440,.757,263,1000,465,116,68,305,489
218,Northern Illinois,24,8,16,.333,-12.93,-2.30,,3,9,,6,4,,2,12,,1705,1836,,960,576,1388,.415,198,629,.315,355,535,.664,309,860,306,151,46,364,450
219,Northern Iowa,27,17,10,.630,7.55,1.82,,9,7,,12,3,,4,6,,1866,1652,,1090,696,1497,.465,204,603,.338,270,384,.703,189,886,399,176,85,251,409
220,Northern Kentucky,27,16,11,.593,-2.86,-4.57,,8,8,,11,4,,5,7,,2239,2074,,1090,780,1666,.468,251,745,.337,428,597,.717,318,947,418,242,97,324,491
221,Northwestern,26,10,16,.385,11.85,10.85,,2,13,,7,6,,2,7,,1924,1898,,1045,686,1507,.455,161,517,.311,391,522,.749,239,826,444,141,100,223,462
222,Northwestern State,27,8,19,.296,-9.00,-1.40,,6,12,,6,6,,2,13,,1892,2009,,1085,644,1453,.443,167,502,.333,437,587,.744,241,836,337,185,63,319,462
223,Notre Dame,26,12,14,.462,10.18,8.95,,3,10,,9,5,,2,7,,1941,1909,,1055,681,1510,.451,231,637,.363,348,503,.692,292,961,321,120,59,301,451
224,Oakland,27,14,13,.519,-0.53,1.36,,10,6,,6,3,,7,9,,2234,2217,,1080,779,1646,.473,189,550,.344,487,650,.749,296,946,421,206,99,284,399
225,Ohio,26,13,13,.500,-3.81,-0.39,,7,6,,9,4,,3,7,,2017,2023,,1045,722,1546,.467,179,587,.305,394,565,.697,262,877,352,169,91,299,468
226,Ohio State,25,16,9,.640,17.23,9.83,,8,6,,11,3,,4,4,,2024,1839,,1015,705,1446,.488,195,569,.343,419,533,.786,253,866,369,127,64,264,448
227,Oklahoma,25,13,12,.520,12.79,7.07,,3,9,,9,4,,2,6,,2086,1943,,1005,722,1542,.468,247,691,.357,395,536,.737,295,913,363,157,91,250,439
228,Oklahoma State,25,16,9,.640,12.12,8.72,,4,8,,13,3,,1,5,,2118,2033,,1005,736,1572,.468,195,562,.347,451,615,.733,276,943,386,188,71,310,439
229,Old Dominion,28,10,18,.357,-6.31,-2.87,,6,9,,7,6,,3,12,,2093,2146,,1130,738,1681,.439,210,618,.340,407,563,.723,267,994,367,160,91,301,530
230,Omaha,28,14,14,.500,-6.09,-2.92,,7,6,,9,4,,5,8,,2176,2158,,1125,767,1623,.473,245,674,.364,397,542,.732,258,969,384,169,73,318,468
231,Oral Roberts,27,6,21,.222,-12.33,-0.25,,1,11,,5,8,,0,12,,1937,2128,,1090,646,1556,.415,225,724,.311,420,565,.743,285,922,312,154,96,365,530
232,Oregon,25,9,16,.360,9.37,12.01,,2,12,,8,6,,1,6,,1806,1872,,1005,612,1432,.427,208,632,.329,374,521,.718,299,875,352,147,100,302,407
233,Oregon State,28,14,14,.500,0.28,3.53,,7,8,,10,5,,4,6,,1966,2057,,1135,621,1464,.424,229,650,.352,495,641,.772,227,886,369,158,106,332,506
234,Pacific,28,17,11,.607,5.09,1.66,,8,7,,11,2,,4,9,,2077,1907,,1125,750,1577,.476,207,561,.369,370,485,.763,320,1073,432,160,66,372,512
235,Penn State,26,11,15,.423,5.30,8.88,,2,13,,8,6,,2,7,,1961,2054,,1040,702,1505,.466,187,574,.326,370,492,.752,235,774,328,191,43,255,406
236,Pennsylvania,23,13,10,.565,-1.69,-1.64,,6,4,,10,2,,3,7,,1761,1715,,920,607,1368,.444,179,475,.377,368,532,.692,270,835,326,145,79,252,386
237,Pepperdine,27,7,20,.259,-6.36,4.44,,2,12,,6,9,,1,10,,1908,2133,,1090,664,1567,.424,183,603,.303,397,526,.755,286,899,363,156,75,352,410
238,Pittsburgh,26,9,17,.346,7.72,9.57,,2,11,,7,9,,1,7,,1818,1866,,1045,654,1508,.434,213,644,.331,297,448,.663,313,902,342,169,84,295,436
239,Portland,27,12,15,.444,-1.26,4.47,,5,9,,11,5,,1,10,,2033,2122,,1090,727,1569,.463,165,550,.300,414,562,.737,265,923,459,163,82,367,481
240,Portland State,24,17,7,.708,1.04,-2.34,,11,2,,9,2,,8,5,,1866,1674,,970,674,1421,.474,160,481,.333,358,506,.708,275,898,366,180,96,296,489
241,Prairie View,26,10,16,.385,-14.77,-6.86,,5,8,,8,3,,1,12,,2098,2086,,1040,702,1581,.444,156,484,.322,538,710,.758,250,848,303,225,110,322,521
242,Presbyterian,27,13,14,.481,-9.28,-5.44,,6,6,,9,3,,3,11,,1937,1930,,1090,699,1479,.473,139,437,.318,400,593,.675,308,960,358,149,120,356,464
243,Princeton,25,8,17,.320,-6.84,-1.67,,4,6,,7,3,,1,10,,1727,1810,,1010,583,1387,.420,209,622,.336,352,470,.749,245,842,317,117,56,267,409
