,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
340,NJIT,33,16,17,.485,-15.96,-8.46,,10,6,,8,6,,8,11,,2212,2417,,1322,833,1922,.433,254,780,.326,497,716,.694,378,1253,437,212,101,377,550
341,Niagara,30,8,22,.267,-16.31,-7.89,,5,15,,6,7,,2,14,,1916,2137,,1205,744,1628,.457,229,658,.348,420,540,.778,306,1008,390,200,88,319,455
342,Chicago State,32,7,25,.219,-16.40,-5.05,,5,13,,5,6,,2,19,,2105,2434,,1285,818,1727,.474,318,891,.357,480,642,.748,340,1160,591,177,108,427,489
343,Southern Indiana,30,7,23,.233,-16.54,-9.29,,4,16,,3,10,,4,11,,2061,2210,,1210,790,1791,.441,167,491,.340,463,634,.730,364,1197,317,200,146,342,527
344,The Citadel,33,11,22,.333,-16.65,-6.05,,7,11,,7,8,,3,12,,2322,2558,,1345,921,1891,.487,300,824,.364,416,610,.682,329,1184,475,200,102,332,496
345,Canisius,31,10,21,.323,-16.98,-7.85,,5,15,,7,8,,3,13,,1951,2184,,1245,756,1696,.446,243,746,.326,429,596,.720,300,1058,424,207,101,329,478
346,Maine,32,8,24,.250,-17.07,-9.75,,6,10,,4,8,,4,14,,2001,2190,,1280,795,1766,.450,193,651,.296,407,592,.688,358,1178,417,200,87,415,548
347,New Hampshire,30,9,21,.300,-17.17,-7.46,,5,11,,8,5,,1,16,,2076,2238,,1230,788,1712,.460,211,625,.338,451,612,.737,263,1110,378,182,113,338,490
348,Maryland-Eastern Shore,32,9,23,.281,-17.64,-8.51,,5,9,,6,4,,2,18,,2060,2265,,1305,754,1726,.437,226,684,.330,531,718,.740,345,1029,416,288,95,384,531
349,North Carolina Central,32,14,18,.438,-18.30,-8.66,,8,6,,8,5,,4,12,,2299,2415,,1285,833,1813,.459,261,736,.355,488,684,.713,414,1178,478,200,135,476,567
350,Bryant,31,9,22,.290,-18.34,-8.06,,5,11,,8,5,,1,17,,2010,2246,,1255,805,1777,.453,224,632,.354,412,578,.713,321,1087,406,248,72,301,469
351,Louisiana-Monroe,32,4,28,.125,-18.74,-5.08,,1,17,,3,11,,1,15,,2318,2685,,1290,996,2057,.484,302,846,.357,391,555,.705,394,1276,563,239,128,363,602
352,Saint Francis (PA),31,7,24,.226,-19.07,-6.04,,5,13,,5,8,,2,14,,2216,2510,,1245,886,1801,.492,268,729,.368,470,659,.713,321,1127,493,204,117,397,518
353,Rider,29,4,25,.138,-19.16,-5.01,,3,17,,4,9,,0,16,,1840,2204,,1160,782,1676,.467,251,672,.374,389,545,.714,320,1065,423,189,99,296,454
354,Morgan State,30,14,16,.467,-19.39,-11.05,,10,4,,9,6,,5,9,,2258,2347,,1207,791,1721,.460,173,550,.315,592,861,.688,352,1103,442,197,108,363,581
355,Jackson State,33,12,21,.364,-19.75,-6.24,,10,8,,7,3,,4,15,,2318,2764,,1330,928,2014,.461,278,800,.348,630,843,.747,443,1330,565,262,136,389,599
356,Kansas City,31,4,27,.129,-20.04,-2.29,,1,15,,3,11,,1,15,,2149,2600,,1245,951,1968,.483,276,759,.364,422,597,.707,380,1241,497,247,113,370,543
357,Alcorn State,32,9,23,.281,-20.10,-6.82,,7,11,,5,4,,2,18,,2141,2566,,1282,911,1850,.492,214,649,.330,530,729,.727,366,1182,507,234,134,403,493
358,VMI,32,6,26,.188,-20.87,-6.18,,1,17,,5,9,,1,14,,2303,2560,,1280,899,1937,.464,306,871,.351,456,629,.725,393,1294,564,177,88,353,506
359,Binghamton,31,8,23,.258,-20.89,-10.99,,4,12,,7,8,,1,14,,2105,2321,,1265,828,1789,.463,250,701,.357,413,595,.694,303,1045,400,217,94,279,541
360,South Carolina State,32,10,22,.313,-21.95,-8.78,,7,7,,6,5,,3,16,,2147,2522,,1280,824,1765,.467,226,667,.339,648,885,.732,364,1119,475,242,108,431,624
361,Gardner-Webb,33,4,29,.121,-22.47,-1.97,,1,15,,3,10,,0,16,,2248,2820,,1320,1002,2031,.493,300,834,.360,516,711,.726,397,1298,556,266,114,371,513
362,Delaware State,31,8,23,.258,-22.66,-10.92,,2,12,,5,7,,2,14,,1896,2185,,1250,768,1646,.467,196,577,.340,453,635,.713,285,1065,425,205,124,410,489
363,Western Illinois,31,5,26,.161,-23.72,-8.43,,1,19,,4,11,,1,15,,2011,2381,,1245,864,1822,.474,231,654,.353,422,601,.702,337,1127,434,209,126,322,528
364,Coppin State,31,7,24,.226,-24.92,-8.18,,5,9,,3,6,,4,15,,2032,2493,,1245,825,1768,.467,291,769,.378,552,742,.744,346,1108,514,276,131,387,554
365,Mississippi Valley State,33,3,30,.091,-28.67,-8.20,,2,16,,2,9,,1,18,,2120,2739,,1331,876,1853,.473,289,784,.369,698,928,.752,379,1215,520,286,113,404,571
