,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
201,Marist,31,19,12,.613,-3.70,-8.67,,12,8,,11,4,,7,7,,2160,1979,,1245,684,1698,.403,177,626,.283,434,624,.696,312,1058,315,202,97,398,450
202,Utah Tech,34,19,15,.559,-3.70,-1.45,,11,7,,11,3,,6,10,,2612,2548,,1395,922,2081,.443,212,702,.302,492,683,.720,411,1220,440,236,86,422,579
203,Buffalo,32,17,15,.531,-3.74,-4.20,,7,11,,7,8,,8,6,,2497,2438,,1290,874,1839,.475,268,766,.350,422,575,.734,317,1067,514,213,78,386,557
204,Queens (NC),35,21,14,.600,-3.74,-4.38,,13,5,,12,2,,6,10,,2957,2924,,1410,1011,2147,.471,304,843,.361,598,818,.731,413,1243,486,227,105,382,659
205,San Diego,33,12,21,.364,-3.77,2.26,,5,13,,9,8,,2,11,,2458,2570,,1335,903,1905,.474,244,762,.320,520,708,.734,362,1179,516,235,109,440,528
206,Appalachian State,32,19,13,.594,-3.94,-5.84,,11,7,,11,4,,7,8,,2305,2114,,1285,739,1851,.399,240,763,.315,396,563,.703,341,1089,374,162,80,301,608
207,La Salle,32,9,23,.281,-4.18,3.92,,5,13,,7,6,,1,13,,2148,2370,,1280,852,1833,.465,281,775,.363,385,559,.689,339,1108,520,212,150,366,548
208,New Orleans,33,15,18,.455,-4.18,-1.03,,12,10,,5,6,,9,11,,2459,2563,,1330,862,2028,.425,264,815,.324,575,802,.717,440,1161,520,257,118,344,683
209,Howard,35,24,11,.686,-4.24,-10.40,,11,3,,11,4,,7,6,,2722,2420,,1404,828,1933,.428,208,674,.309,556,786,.707,364,1112,385,207,140,517,691
210,South Alabama,33,21,12,.636,-4.27,-6.20,,11,7,,10,4,,8,7,,2454,2312,,1345,769,1984,.388,421,1288,.327,353,482,.732,384,1219,543,182,132,408,554
211,Merrimack,34,23,11,.676,-4.33,-6.39,,17,3,,11,0,,9,8,,2330,2260,,1375,782,1873,.418,185,611,.303,511,695,.735,464,1299,445,158,127,446,565
212,Cal Poly,33,14,19,.424,-4.46,-0.49,,10,10,,8,6,,6,11,,2710,2805,,1325,991,2154,.460,308,895,.344,515,711,.724,383,1245,520,239,112,413,649
213,Lipscomb,32,19,13,.594,-4.49,-5.09,,12,6,,13,1,,6,11,,2549,2423,,1285,885,1950,.454,264,780,.338,389,546,.712,341,1154,405,209,99,413,491
214,Rice,31,13,18,.419,-4.53,0.23,,7,11,,8,8,,4,9,,2291,2311,,1260,792,1808,.438,218,658,.331,509,699,.728,372,1137,373,235,109,347,539
215,Youngstown State,32,15,17,.469,-4.57,-4.78,,8,12,,10,5,,4,11,,2495,2338,,1285,834,1851,.451,216,621,.348,454,613,.741,329,1062,393,227,90,403,533
