,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
90,Pittsburgh,ACC,,,9,17,69.9,71.8,-1.85,,9.57,,-0.06,7.78,7.72,111.95,103.49,8.46
91,Northern Iowa,MVC,,,17,10,69.1,61.2,7.93,,1.82,,-6.31,13.86,7.55,106.42,96.30,10.12
92,Marquette,Big East,,,9,17,76.0,77.7,-1.73,,9.07,,5.52,1.83,7.34,110.79,101.45,9.34
93,South Carolina,SEC,,,11,14,76.4,75.9,0.52,,6.80,,3.08,4.25,7.32,112.50,103.47,9.03
94,Memphis,American,,,12,13,74.8,73.8,1.00,,6.28,,2.49,4.79,7.28,107.51,98.60,8.91
95,High Point,Big South,,,24,4,91.8,70.5,21.25,,-7.96,,9.44,-2.24,7.20,117.21,108.53,8.68
96,Dayton,A-10,,,16,9,75.8,71.4,4.44,,2.52,,2.39,4.57,6.96,109.20,100.25,8.95
97,Illinois State,MVC,,,17,10,76.4,68.1,8.30,,0.08,,0.64,6.33,6.96,109.74,101.12,8.63
98,Miami (OH),MAC,,22,25,0,92.6,74.3,18.32,,-5.81,,10.23,-3.31,6.92,115.57,107.90,7.67
99,DePaul,Big East,,,13,12,71.7,70.2,1.48,,5.42,,-1.11,8.01,6.90,107.83,99.98,7.85
100,Yale,Ivy,,,20,4,83.3,71.5,11.83,,-2.29,,6.54,0.35,6.90,120.19,111.72,8.47
101,Utah,Big 12,,,9,16,76.4,79.5,-3.16,,9.88,,5.54,1.18,6.72,114.81,106.90,7.91
102,George Mason,A-10,,,21,5,74.5,67.3,7.27,,-0.02,,-1.39,7.98,6.58,110.74,102.60,8.14
103,Utah Valley,WAC,,,18,7,81.5,68.1,13.40,,-0.93,,4.07,2.37,6.44,111.16,103.06,8.10
104,Hawaii,Big West,,,18,6,79.8,67.8,11.96,,-3.74,,1.20,5.20,6.40,105.67,98.25,7.42
105,Stephen F. Austin,Southland,,,24,3,77.6,65.3,12.26,,-4.41,,0.26,5.57,5.84,109.86,102.34,7.52
106,Florida Atlantic,American,,,14,12,81.0,75.3,5.73,,2.82,,5.92,-0.48,5.44,110.93,104.88,6.05
107,Davidson,A-10,,,15,10,73.9,68.7,5.24,,3.83,,-0.86,6.25,5.40,111.95,104.85,7.10
108,Liberty,CUSA,,,22,3,78.9,67.7,11.20,,-1.44,,1.87,3.47,5.33,116.55,109.59,6.95
109,Murray State,MVC,,,19,9,84.3,79.5,4.82,,0.48,,10.02,-4.72,5.30,115.32,109.39,5.93
110,Penn State,Big Ten,,,11,15,75.4,79.0,-3.58,,8.88,,4.95,0.35,5.30,116.15,110.02,6.13
111,Pacific,WCC,,,17,11,74.2,68.1,6.07,,1.66,,-1.44,6.52,5.09,109.77,103.27,6.51
112,Duquesne,A-10,,,15,10,82.4,76.4,5.96,,1.48,,6.91,-2.04,4.87,111.19,105.84,5.35
113,Fresno State,MWC,,,12,13,73.7,71.8,1.92,,4.19,,0.01,4.63,4.64,106.54,100.94,5.61
114,San Francisco,WCC,,,15,13,75.0,72.7,2.32,,3.90,,1.76,2.88,4.64,112.12,106.87,5.24
115,Washington State,WCC,,,11,16,76.6,77.7,-1.11,,5.86,,4.38,0.13,4.52,113.90,109.08,4.82
116,Seattle,WCC,,,16,11,72.5,67.3,5.22,,3.21,,-3.74,8.23,4.49,100.80,95.69,5.11
117,Nevada-Las Vegas,MWC,,,13,12,79.2,78.8,0.44,,5.39,,7.16,-3.07,4.10,112.37,107.40,4.97
118,UAB,American,,,16,10,79.8,73.9,5.92,,0.12,,2.93,1.11,4.04,107.04,102.93,4.11
119,Bradley,MVC,,,18,9,77.1,72.4,4.70,,0.23,,3.10,0.74,3.85,109.94,106.14,3.81
120,Sam Houston,CUSA,,,17,8,83.0,74.0,9.00,,0.24,,5.51,-1.72,3.79,111.03,106.47,4.56
121,Rhode Island,A-10,,,14,11,72.2,68.5,3.68,,0.07,,-1.81,5.56,3.75,107.20,103.25,3.96
122,Boston College,ACC,,,9,16,67.4,69.3,-1.88,,5.50,,-3.74,7.36,3.62,102.26,98.88,3.38
123,Richmond,A-10,,,14,12,77.8,73.8,4.00,,0.54,,2.72,0.86,3.58,110.74,107.68,3.05
124,Maryland,Big Ten,,,10,15,71.4,78.2,-6.80,,10.28,,1.26,2.21,3.48,109.82,106.75,3.07
125,Rutgers,Big Ten,,,10,15,70.0,75.6,-5.64,,9.06,,0.56,2.86,3.42,108.92,106.23,2.69
126,UC San Diego,Big West,,,18,9,76.3,70.3,6.04,,-0.94,,-0.60,3.98,3.38,106.90,103.23,3.67
127,Southern Illinois,MVC,,,12,15,74.1,71.1,3.04,,1.79,,0.25,3.11,3.36,103.54,99.93,3.61
128,St. Thomas,Summit,,,21,7,83.9,72.7,11.25,,-5.24,,4.86,-1.70,3.17,112.52,109.36,3.17
129,UC Irvine,Big West,,,17,9,77.7,68.0,9.65,,-1.35,,-2.49,5.64,3.15,101.62,98.27,3.36
130,Illinois-Chicago,MVC,,,15,12,75.1,69.7,5.33,,0.56,,-1.55,4.63,3.08,106.91,103.74,3.17
131,Georgia Tech,ACC,,,11,15,74.5,76.3,-1.81,,4.78,,2.98,-0.01,2.98,106.46,103.97,2.49
132,UNC Wilmington,CAA,,,22,4,77.0,67.0,10.00,,-4.93,,-2.01,4.88,2.87,110.22,106.68,3.54
133,Hofstra,CAA,,,17,10,75.8,67.8,7.96,,-1.76,,-0.44,3.16,2.73,110.17,107.22,2.95
134,North Texas,American,,,15,11,70.6,66.2,4.46,,0.80,,-6.51,8.52,2.01,101.71,99.86,1.85
135,St. Bonaventure,A-10,,,14,11,76.6,74.0,2.56,,1.01,,2.47,-0.47,2.01,111.86,110.29,1.57
136,William & Mary,CAA,,,16,10,83.7,76.9,6.77,,-1.43,,6.51,-4.53,1.99,109.53,107.92,1.62
137,UC Santa Barbara,Big West,,,17,9,79.2,73.0,6.15,,-2.02,,1.43,0.47,1.90,115.10,112.84,2.26
138,North Dakota State,Summit,,,21,6,81.4,71.0,10.41,,-4.76,,1.20,0.67,1.86,110.17,108.27,1.90
139,Loyola Marymount,WCC,,,13,15,75.1,72.8,2.36,,2.27,,-0.99,2.63,1.64,105.31,103.98,1.33
140,Montana State,Big Sky,,,15,11,77.8,70.7,7.04,,0.01,,-1.67,3.28,1.61,108.14,106.91,1.23
141,California Baptist,WAC,,,19,7,72.9,68.7,4.23,,-2.68,,-3.33,4.88,1.55,104.60,103.31,1.29
142,Bowling Green,MAC,,,16,10,82.3,70.2,12.15,,-3.72,,-1.26,2.80,1.54,104.65,103.25,1.40
